"data_pedido","sup","inf","data_limite","id_cliente","cliente_premium","id_pedido"
"2024-03-27 11:07:31.0","6;7;8;9;10","6;7;8;9;10","2024-04-08 11:07:31.0","469576",0,138
"2024-03-27 11:24:22.0","6;7;8;9;10","6;7;8;9;10","2024-04-08 11:24:22.0","565602",0,139
"2024-03-27 11:42:28.0","6;7;8;9;10","6;7;8;9;10","2024-04-08 11:42:28.0","480537",1,140
"2024-03-27 12:21:15.0",,"16;17;18;19;20","2024-04-08 12:21:15.0","800686",0,141
"2024-03-27 14:02:46.0","6;7;8;9;10;11;12","6;7","2024-04-08 14:02:46.0","951127",1,142
"2024-03-27 14:37:00.0","26;27;28;29","26;27;28;29","2024-04-08 14:37:00.0","114334",0,143
"2024-03-27 14:54:39.0","16;17;18;19;20","16;17;18;19;20","2024-04-08 14:54:39.0","526223",0,144
"2024-03-27 15:04:07.0","1;2;3;4;5","1;2;3;4;5","2024-04-08 15:04:07.0","423409",0,145
"2024-03-27 15:27:19.0","1;2;3;4;5","1;2;3;4;5","2024-04-08 15:27:19.0","138768",0,146
"2024-03-27 15:40:07.0","1;2;3;4;5","1;2;3;4;5","2024-04-08 15:40:07.0","587402",0,147
"2024-03-27 15:49:31.0","11;12;13;14;15","11;12;13;14;15","2024-04-08 15:49:31.0","698444",0,148
"2024-03-27 15:58:19.0","6;7;8;9;10","6;7;8;9;10","2024-04-08 15:58:19.0","954010",0,149
"2024-03-27 16:07:09.0","6;7;8;9;10;11","6;7;8;9;10;11","2024-04-08 16:07:09.0","611516",0,150
"2024-03-27 17:03:39.0","6;7;8;9","6;7;8;9;10","2024-04-08 17:03:39.0","407695",0,151
"2024-03-27 17:09:05.0","6;7;8;9;10","6;7;8;9;10","2024-04-08 17:09:05.0","375727",1,152
"2024-03-27 17:53:19.0","6;7;8","6;7;8","2024-04-08 17:53:19.0","407695",0,153
"2024-03-27 17:54:36.0",,"27;28;29;30;31","2024-04-08 17:54:36.0","020518",0,154
"2024-03-27 18:05:15.0","28;29;30;31;32","28;29;30;31;32","2024-04-08 18:05:15.0","068707",1,155
"2024-03-27 18:45:55.0","1;2;3;4;5","1;2;3;4;5","2024-04-08 18:45:55.0","423409",0,156
"2024-03-28 08:06:39.0","9;10;11;12;13","9;10;11;12;13","2024-04-02 00:00:00.0","287042",0,157
"2024-03-28 08:22:21.0","30;31;32;33;34","30;31;32;33;34;35;36;37","2024-04-09 08:22:21.0","816862",0,158
"2024-03-28 10:04:36.0","15;16;17;18;19","15;16;17;18","2024-04-04 00:00:00.0","494591",0,159
"2024-03-28 10:17:51.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 10:17:51.0","108223",0,160
"2024-03-28 11:33:01.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 11:33:01.0","647418",0,161
